company_name,ticker,esg_score,risk_level,page_number
Acter Group Corp. Ltd.,ROCO:5536,28.4,Medium ESG Risk,15
Actic Group AB,OME:ATIC,32,High ESG Risk,15
Action Construction Equipment Ltd.,BOM:532762,31.2,High ESG Risk,15
Active Biotech AB,OME:ACTI,28.1,Medium ESG Risk,15
"Activia Properties, Inc.",TKS:3279,9.5,Negligible ESG Risk,15
"Activision Blizzard, Inc.",-,13.8,Low ESG Risk,15
Actron Technology Corp.,ROCO:8255,13.5,Low ESG Risk,15
"Acuity Brands, Inc.",NYS:AYI,18,Low ESG Risk,15
Acushnet Holdings Corp.,NYS:GOLF,13.7,Low ESG Risk,15
"ACV Auctions, Inc.",NAS:ACVA,30,Medium ESG Risk,15
ACWA Power Co.,SAU:2082,34.9,High ESG Risk,16
ADAMA Ltd.,SHE:000553,36.3,High ESG Risk,16
Adani Electricity Mumbai Ltd.,-,25.1,Medium ESG Risk,16
Adani Energy Solutions Ltd.,BOM:539254,29.5,Medium ESG Risk,16
Adani Enterprises Ltd.,BOM:512599,32.9,High ESG Risk,16
Adani Green Energy Ltd.,BOM:541450,14.3,Low ESG Risk,16
Adani Ports & Special Economic Zone Ltd.,BOM:532921,11.3,Low ESG Risk,16
Adani Power Ltd.,BOM:533096,35.3,High ESG Risk,16
Adani Total Gas Ltd.,BOM:542066,24.5,Medium ESG Risk,16
Adani Wilmar Ltd.,BOM:543458,32.7,High ESG Risk,16
adapa Holding GesmbH,-,12.5,Low ESG Risk,17
AdaptHealth Corp.,NAS:AHCO,35.2,High ESG Risk,17
Adaptive Biotechnologies Corp.,NAS:ADPT,18.9,Low ESG Risk,17
"Adastria Co., Ltd.",TKS:2685,18.8,Low ESG Risk,17
"ADATA Technology Co., Ltd.",ROCO:3260,35.9,High ESG Risk,17
ADBRI Ltd.,-,34.6,High ESG Risk,17
AddLife AB,OME:ALIF.B,28.3,Medium ESG Risk,17
Addnode Group AB,OME:ANOD.B,19.8,Low ESG Risk,17
"Addsino Co., Ltd.",SHE:000547,23.7,Medium ESG Risk,17
Addtech AB,OME:ADDT.B,21.2,Medium ESG Risk,17
Addus HomeCare Corp.,NAS:ADUS,18.5,Low ESG Risk,18
Adecco Group AG,SWX:ADEN,7,Negligible ESG Risk,18
Adecoagro SA,NYS:AGRO,27.6,Medium ESG Risk,18
"Adeia, Inc.",NAS:ADEA,31.6,High ESG Risk,18
Adeka Corp.,TKS:4401,25.7,Medium ESG Risk,18
"ADENTRA, Inc.",TSE:ADEN,28.6,Medium ESG Risk,18
adesso SE,ETR:ADN1,22.3,Medium ESG Risk,18
Adevinta ASA,-,21.1,Medium ESG Risk,18
"Adicet Bio, Inc.",NAS:ACET,26.6,Medium ESG Risk,18
adidas AG,ETR:ADS,15.9,Low ESG Risk,18
Adient plc,NYS:ADNT,13,Low ESG Risk,19
Adimmune Corp.,TAI:4142,26.7,Medium ESG Risk,19
Aditya Birla Capital Ltd.,BOM:540691,12.4,Low ESG Risk,19
Aditya Birla Fashion & Retail Ltd.,BOM:535755,13.1,Low ESG Risk,19
"Adlink Technology, Inc.",TAI:6166,23.1,Medium ESG Risk,19
"ADMA Biologics, Inc.",NAS:ADMA,34.5,High ESG Risk,19
Admicom Oyj,HEL:ADMCM,25.8,Medium ESG Risk,19
Admie Holdings (IPTO) SA,ATH:ADMIE,31.8,High ESG Risk,19
Admiral Group Plc,LON:ADM,22.6,Medium ESG Risk,19
ADNOC Drilling Co. PJSC,ADS:ADNOCDRILL,23.9,Medium ESG Risk,19
ADNOC Logistics & Services Plc,ADS:ADNOCLS,22.9,Medium ESG Risk,20
"Adobe, Inc.",NAS:ADBE,14.1,Low ESG Risk,20
Adolf Würth GmbH & Co. KG,-,26.2,Medium ESG Risk,20
Adriatic Metals Plc,ASX:ADT,40.2,Severe ESG Risk,20
ADS-TEC Energy Plc,NAS:ADSE,28.5,Medium ESG Risk,20
"ADT, Inc.",NYS:ADT,22.4,Medium ESG Risk,20
"Adtalem Global Education, Inc.",NYS:ATGE,12.1,Low ESG Risk,20
"ADTRAN Holdings, Inc.",NAS:ADTN,22.1,Medium ESG Risk,20
Adtran Networks SE,ETR:ADV,13.4,Low ESG Risk,20
"ADVAN GROUP CO., LTD",TKS:7463,26.1,Medium ESG Risk,20
"Advance Auto Parts, Inc.",NYS:AAP,10.7,Low ESG Risk,21
Advance Logistics Investment Corp.,TKS:3493,15.9,Low ESG Risk,21
Advance Residence Investment Corp.,TKS:3269,16.8,Low ESG Risk,21
Advanced Ceramic X Corp.,ROCO:3152,18.3,Low ESG Risk,21
"Advanced Drainage Systems, Inc.",NYS:WMS,24.8,Medium ESG Risk,21
"Advanced Energy Industries, Inc.",NAS:AEIS,17.8,Low ESG Risk,21
"Advanced Energy Solution Holding Co., Ltd.",TAI:6781,19,Low ESG Risk,21
Advanced Enzyme Technologies Ltd.,BOM:540025,34,High ESG Risk,21
Advanced Fiber Resources Zhuhai Ltd.,SHE:300620,25.7,Medium ESG Risk,21
Advanced Info Service Public Co. Ltd.,BKK:ADVANC,21.4,Medium ESG Risk,21
Advanced International Multitech Co. Ltd.,ROCO:8938,10,Low ESG Risk,22
"Advanced Media, Inc. (Japan)",TKS:3773,28,Medium ESG Risk,22
Advanced Medical Solutions Group Plc,LON:AMS,18.5,Low ESG Risk,22
"Advanced Micro Devices, Inc.",NAS:AMD,13.8,Low ESG Risk,22
"Advanced Micro Fabrication Equipment, Inc. China",SHG:688012,23.6,Medium ESG Risk,22
"Advanced Nano Products Co., Ltd.",KRX:121600,31.2,High ESG Risk,22
Advanced Petrochemical Co.,SAU:2330,26.5,Medium ESG Risk,22
Advanced Process Systems Corp.,KRX:265520,29.4,Medium ESG Risk,22
"Advanced Technology & Materials Co., Ltd.",SHE:000969,53,Severe ESG Risk,22
Advanced Wireless Semiconductor Co.,ROCO:8086,20.6,Medium ESG Risk,22
Advancetek Enterprise Co. Ltd.,TAI:1442,19.4,Low ESG Risk,23
"Advansix, Inc.",NYS:ASIX,21.6,Medium ESG Risk,23
Advantage Energy Ltd.,TSE:AAV,38.6,High ESG Risk,23
"Advantage Solutions, Inc. (California)",NAS:ADV,20.5,Medium ESG Risk,23
"Advantech Co., Ltd.",TAI:2395,17.8,Low ESG Risk,23
Advantest Corp.,TKS:6857,15.5,Low ESG Risk,23
ADvTECH Ltd.,JSE:ADH,17.2,Low ESG Risk,23
Adyen NV,AMS:ADYEN,18.1,Low ESG Risk,23
"AECC Aero-engine Control Co., Ltd.",SHE:000738,44.2,Severe ESG Risk,23
"AECC Aviation Power Co., Ltd.",SHG:600893,49.3,Severe ESG Risk,23
AECI Ltd.,JSE:AFE,27.1,Medium ESG Risk,24
AECOM,NYS:ACM,27,Medium ESG Risk,24
"Aecon Group, Inc.",TSE:ARE,37.1,High ESG Risk,24
AEDAS Homes SA,MCE:AEDAS,9.8,Negligible ESG Risk,24
Aedifica SA,BRU:AED,9.3,Negligible ESG Risk,24
Aegea Saneamento e Participaçoes SA,-,12.7,Low ESG Risk,24
Aegean Airlines SA,ATH:AEGN,27.7,Medium ESG Risk,24
Aegis Logistics Ltd.,BOM:500003,38.6,High ESG Risk,24
Aegon Ltd.,AMS:AGN,14,Low ESG Risk,24
Aehr Test Systems,NAS:AEHR,22.2,Medium ESG Risk,24
"Aekyung Chemical Co., Ltd.",KRX:161000,26,Medium ESG Risk,25
"Aekyung Industrial Co., Ltd.",KRX:018250,33.2,High ESG Risk,25
AEM Holdings Ltd.,SES:AWX,19.7,Low ESG Risk,25
Aena S.M.E. SA,MCE:AENA,9.8,Negligible ESG Risk,25
AEON Co. (Malaysia) Bhd.,KLS:6599,17.2,Low ESG Risk,25
"AEON Co., Ltd.",TKS:8267,23.4,Medium ESG Risk,25
AEON Credit Service (M) Bhd.,KLS:5139,22.3,Medium ESG Risk,25
"AEON DELIGHT CO., LTD.",TKS:9787,23.5,Medium ESG Risk,25
"AEON Fantasy Co., Ltd.",TKS:4343,29.7,Medium ESG Risk,25
"AEON Financial Service Co., Ltd.",TKS:8570,27.9,Medium ESG Risk,25
AEON Hokkaido Corp.,TKS:7512,20.5,Medium ESG Risk,26
"AEON Kyushu Co., Ltd.",TKS:2653,21.2,Medium ESG Risk,26
"AEON Mall Co., Ltd.",TKS:8905,19,Low ESG Risk,26
AEON REIT Investment Corp.,TKS:3292,16.5,Low ESG Risk,26
AEON Thana Sinsap (Thailand) Public Co. Ltd.,BKK:AEONTS,24.2,Medium ESG Risk,26
AerCap Holdings NV,NYS:AER,17.8,Low ESG Risk,26
Aeroporti di Roma SpA,-,13.7,Low ESG Risk,26
Aéroports de Montréal,-,17,Low ESG Risk,26
Aéroports de Paris ADP,PAR:ADP,17.5,Low ESG Risk,26
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.,-,22.2,Medium ESG Risk,26
Aeropuertos Dominicanos Siglo XXI SA,-,23.7,Medium ESG Risk,27
"Aerospace Hi-Tech Holding Group Co., Ltd.",SHE:000901,28.9,Medium ESG Risk,27
"Aerovate Therapeutics, Inc.",NAS:AVTE,30.3,High ESG Risk,27
"AeroVironment, Inc.",NAS:AVAV,31.3,High ESG Risk,27
AerSale Corp.,NAS:ASLE,27.7,Medium ESG Risk,27
AES Andes SA,-,35.5,High ESG Risk,27
AES Brasil Energia SA,BSP:AESB3,10.4,Low ESG Risk,27
"Aeva Technologies, Inc.",NYS:AEVA,37.2,High ESG Risk,27
AEVIS VICTORIA SA,SWX:AEVS,37.9,High ESG Risk,27
AEW UK REIT Plc,LON:AEWU,16.5,Low ESG Risk,27
AF Gruppen ASA,OSL:AFG,36.4,High ESG Risk,28
"AFC Gamma, Inc.",NAS:AFCG,26.3,Medium ESG Risk,28
"Affiliated Managers Group, Inc.",NYS:AMG,19.6,Low ESG Risk,28
Affin Bank Bhd.,KLS:5185,26.7,Medium ESG Risk,28
Affinity Water Ltd.,-,27.5,Medium ESG Risk,28
