company_name,ticker,esg_score,risk_level,page_number
"Daiichi Jitsugyo Co., Ltd.",TKS:8059,23.9,Medium ESG Risk,325
"Daiichi Sankyo Co., Ltd.",TKS:4568,19.8,Low ESG Risk,325
"Daiichikosho Co., Ltd.",TKS:7458,19.6,Low ESG Risk,326
"Daiki Aluminium Industry Co., Ltd.",TKS:5702,33,High ESG Risk,326
DAIKIN INDUSTRIES Ltd.,TKS:6367,20.8,Medium ESG Risk,326
"Daikoku Denki Co., Ltd.",TKS:6430,14.5,Low ESG Risk,326
"Daikokutenbussan Co., Ltd.",TKS:2791,26.5,Medium ESG Risk,326
DaikyoNishikawa Corp.,TKS:4246,23.8,Medium ESG Risk,326
Daily Journal Corp.,NAS:DJCO,14.6,Low ESG Risk,326
Daimler Truck Holding AG,ETR:DTG,25,Medium ESG Risk,326
"Dainichiseika Color & Chemicals Mfg. Co., Ltd.",TKS:4116,32.4,High ESG Risk,326
Daio Paper Corp.,TKS:3880,27.6,Medium ESG Risk,326
"Daiseki Co., Ltd.",TKS:9793,21.2,Medium ESG Risk,327
"Daishi Hokuetsu Financial Group, Inc.",TKS:7327,27.6,Medium ESG Risk,327
"Daishin Securities Co., Ltd.",KRX:003540,37.2,High ESG Risk,327
Daisyo Corp.,TKS:9979,35.3,High ESG Risk,327
"Daito Pharmaceutical Co., Ltd.",TKS:4577,40.5,Severe ESG Risk,327
Daito Trust Construction Co. Ltd.,TKS:1878,21.8,Medium ESG Risk,327
"Daiwa House Industry Co., Ltd.",TKS:1925,12.5,Low ESG Risk,327
Daiwa House REIT Investment Corp.,TKS:8984,13.1,Low ESG Risk,327
DAIWA INDUSTRIES LTD.,TKS:6459,32.7,High ESG Risk,327
Daiwa Office Investment Corp.,TKS:8976,11.5,Low ESG Risk,327
"Daiwa Securities Group, Inc.",TKS:8601,18.3,Low ESG Risk,328
Daiwa Securities Living Investment Corp.,TKS:8986,17.9,Low ESG Risk,328
"Daiwabo Holdings Co., Ltd.",TKS:3107,11.7,Low ESG Risk,328
"Daiyang Metal Co., Ltd.",KRX:009190,50.3,Severe ESG Risk,328
"Dajin Heavy Industry Co., Ltd.",SHE:002487,43.3,Severe ESG Risk,328
Dakota Gold Corp.,ASE:DC,49.2,Severe ESG Risk,328
"Daktronics, Inc.",NAS:DAKT,17.6,Low ESG Risk,328
Dalata Hotel Group Plc,DUB:DHG,21.7,Medium ESG Risk,328
"Dali Foods Group Co., Ltd.",-,25.4,Medium ESG Risk,328
"Dalian Huarui Heavy Industry Group Co., Ltd.",SHE:002204,33.4,High ESG Risk,328
"Dalian Wanda Commercial Management Group Co., Ltd.",-,23.2,Medium ESG Risk,329
Dalipal Holdings Ltd.,HKG:1921,30.4,High ESG Risk,329
Dallah Healthcare Co.,SAU:4004,37.6,High ESG Risk,329
Dalmia Bharat Ltd.,BOM:542216,29.8,Medium ESG Risk,329
Dalrymple Bay Infrastructure Ltd.,ASX:DBI,20.1,Medium ESG Risk,329
DAMAC Real Estate Development Ltd.,-,18.2,Low ESG Risk,329
Dana Gas PJSC,ADS:DANA,40.7,Severe ESG Risk,329
"Dana, Inc.",NYS:DAN,14.8,Low ESG Risk,329
Danaher Corp.,NYS:DHR,10.5,Low ESG Risk,329
"Danal Co., Ltd.",KRX:064260,27.5,Medium ESG Risk,329
Danaos Corp.,NYS:DAC,20.4,Medium ESG Risk,330
Danel (Adir Yeoshua) Ltd.,TAE:DANE,17.4,Low ESG Risk,330
Danfoss A/S,-,23,Medium ESG Risk,330
Dangote Cement Plc,NSA:DANGCEM,36.2,High ESG Risk,330
"Danica Pension, Livsforsikringsaktieselskab",-,15.9,Low ESG Risk,330
Danieli & C. Officine Meccaniche SpA,MIL:DAN,28,Medium ESG Risk,330
"Danimer Scientific, Inc.",NYS:DNMR,36.3,High ESG Risk,330
Danmarks Skibskredit A/S,-,27.3,Medium ESG Risk,330
Danone SA,PAR:BN,18,Low ESG Risk,330
Danske Bank A/S,CSE:DANSKE,18.9,Low ESG Risk,330
Danya Cebus Ltd.,TAE:DNYA,22.6,Medium ESG Risk,331
"Daol Investment & Securities Co., Ltd.",KRX:030210,38.8,High ESG Risk,331
Daou Data Corp.,KRX:032190,16.1,Low ESG Risk,331
"Daou Technology, Inc.",KRX:023590,39,High ESG Risk,331
"Daqin Railway Co., Ltd.",SHG:601006,32,High ESG Risk,331
Daqo New Energy Corp.,NYS:DQ,23.5,Medium ESG Risk,331
Dar Al Arkan Real Estate Development Co.,SAU:4300,30.1,High ESG Risk,331
"Darden Restaurants, Inc.",NYS:DRI,27.5,Medium ESG Risk,331
Darfon Electronics Corp.,TAI:8163,17.2,Low ESG Risk,331
Darktrace Plc,-,20.4,Medium ESG Risk,331
"Darling Ingredients, Inc.",NYS:DAR,19.5,Low ESG Risk,332
Darwin Precisions Corp.,TAI:6120,33.2,High ESG Risk,332
"Daseke, Inc.",OTC:DASE30,20.9,Medium ESG Risk,332
"DaShenLin Pharmaceutical Group Co., Ltd.",SHG:603233,42,Severe ESG Risk,332
Dassault Aviation SA,PAR:AM,36.9,High ESG Risk,332
Dassault Systèmes SA,PAR:DSY,14.2,Low ESG Risk,332
Data Patterns (India) Ltd.,BOM:543428,37,High ESG Risk,332
Data#3 Ltd.,ASX:DTL,17.9,Low ESG Risk,332
"Datadog, Inc.",NAS:DDOG,16.1,Low ESG Risk,332
DATAGROUP SE,ETR:D6H,25.4,Medium ESG Risk,332
Datalogic SpA,MIL:DAL,15.2,Low ESG Risk,333
"Datang International Power Generation Co., Ltd.",HKG:991,56.9,Severe ESG Risk,333
Datatec Ltd.,JSE:DTC,13.3,Low ESG Risk,333
Dätwyler Holding AG,SWX:DAE,24.5,Medium ESG Risk,333
"Dave & Buster's Entertainment, Inc.",NAS:PLAY,30.5,High ESG Risk,333
Davide Campari-Milano NV,MIL:CPR,18.9,Low ESG Risk,333
"DaVita, Inc.",NYS:DVA,21.8,Medium ESG Risk,333
"DAWONSYS Co., Ltd.",KRX:068240,37.2,High ESG Risk,333
"Day One Biopharmaceuticals, Inc.",NAS:DAWN,37.1,High ESG Risk,333
Dayang Enterprise Holdings Bhd.,KLS:5141,29.6,Medium ESG Risk,333
"Dayforce, Inc.",NYS:DAY,17.3,Low ESG Risk,334
DB Corp. Ltd.,BOM:533151,12,Low ESG Risk,334
"DB HITEK Co., Ltd.",KRX:000990,24.9,Medium ESG Risk,334
"DB Insurance Co., Ltd.",KRX:005830,24.6,Medium ESG Risk,334
DBAPPSecurity Co. Ltd.,SHG:688023,26,Medium ESG Risk,334
"DBG Technology Co., Ltd.",SHE:300735,13.2,Low ESG Risk,334
DBNGP Holdings Pty Ltd.,-,31.5,High ESG Risk,334
DBS Bank Ltd.,-,21.1,Medium ESG Risk,334
DBS Bank Ltd. (Australia),-,24.4,Medium ESG Risk,334
DBS Group Holdings Ltd.,SES:D05,18,Low ESG Risk,334
DCB Bank Ltd.,BOM:532772,25.8,Medium ESG Risk,335
DCC Plc,LON:DCC,19.7,Low ESG Risk,335
"DCM Holdings Co., Ltd.",TKS:3050,17.6,Low ESG Risk,335
DCM Shriram Ltd.,BOM:523367,30.6,High ESG Risk,335
DCP Midstream LP,-,35.4,High ESG Risk,335
De Grey Mining Ltd.,ASX:DEG,37.3,High ESG Risk,335
De La Rue Plc,LON:DLAR,7.8,Negligible ESG Risk,335
De Volksbank NV,-,11.6,Low ESG Risk,335
De'Longhi SpA,MIL:DLG,14.4,Low ESG Risk,335
"Dear U Co., Ltd.",KRX:376300,27.5,Medium ESG Risk,335
Dechra Pharmaceuticals Plc,-,14.3,Low ESG Risk,336
"Deciphera Pharmaceuticals, Inc.",-,21.2,Medium ESG Risk,336
Deckers Outdoor Corp.,NYS:DECK,14.2,Low ESG Risk,336
Dedicare AB,OME:DEDI,18.8,Low ESG Risk,336
Deep Yellow Ltd.,ASX:DYL,39.4,High ESG Risk,336
Deepak Fertilisers & Petrochemicals Corp. Ltd.,BOM:500645,37.5,High ESG Risk,336
Deepak Nitrite Ltd.,BOM:506401,34.2,High ESG Risk,336
Deere & Co.,NYS:DE,16.3,Low ESG Risk,336
Definitive Healthcare Corp.,NAS:DH,16.1,Low ESG Risk,336
Definity Financial Corp.,TSE:DFY,19.9,Low ESG Risk,336
"Dehua TB New Decoration Material Co., Ltd.",SHE:002043,31.3,High ESG Risk,337
DekaBank Deutsche Girozentrale,-,16.3,Low ESG Risk,337
Delek Automotive Systems Ltd.,TAE:DLEA,16,Low ESG Risk,337
Delek Group Ltd.,TAE:DLEKG,47.1,Severe ESG Risk,337
"Delek US Holdings, Inc.",NYS:DK,37.4,High ESG Risk,337
Delhi International Airport Ltd.,-,22.1,Medium ESG Risk,337
Delhivery Ltd.,BOM:543529,22.6,Medium ESG Risk,337
Deliveroo Plc,LON:ROO,22.4,Medium ESG Risk,337
Delivery Hero SE,ETR:DHER,24.8,Medium ESG Risk,337
"Delixi New Energy Technology Co., Ltd.",SHG:603032,26.1,Medium ESG Risk,337
"Dell Technologies, Inc.",NYS:DELL,15.7,Low ESG Risk,338
"Delpha Construction Co., Ltd.",TAI:2530,15,Low ESG Risk,338
"Delta Air Lines, Inc.",NYS:DAL,30.5,High ESG Risk,338
Delta Electronics (Thailand) Public Co. Ltd.,BKK:DELTA,17.6,Low ESG Risk,338
"Delta Electronics, Inc.",TAI:2308,13.4,Low ESG Risk,338
Delta Galil Industries Ltd.,TAE:DELG,15.1,Low ESG Risk,338
Deluxe Corp.,NYS:DLX,10,Low ESG Risk,338
"DEMAE-CAN CO., LTD.",TKS:2484,30.3,High ESG Risk,338
Demant A/S,CSE:DEMANT,25.8,Medium ESG Risk,338
Demco Public Co. Ltd.,BKK:DEMCO,39.5,High ESG Risk,338
DEME Group NV,BRU:DEME,30.3,High ESG Risk,339
"DeNA Co., Ltd.",TKS:2432,22.6,Medium ESG Risk,339
"Denali Therapeutics, Inc.",NAS:DNLI,24.9,Medium ESG Risk,339
"Denbury, Inc.",-,34.6,High ESG Risk,339
Denison Mines Corp.,TSE:DML,36.8,High ESG Risk,339
"Denka Co., Ltd.",TKS:4061,33.6,High ESG Risk,339
Denny's Corp.,NAS:DENN,26,Medium ESG Risk,339
DENSO Corp.,TKS:6902,16.2,Low ESG Risk,339
dentalcorp Holdings Ltd.,TSE:DNTL,21.7,Medium ESG Risk,339
"Dentium Co., Ltd.",KRX:145720,35.5,High ESG Risk,339
"Dentsply Sirona, Inc.",NAS:XRAY,12.1,Low ESG Risk,340
"Dentsu Group, Inc.",TKS:4324,15.9,Low ESG Risk,340
"Dentsu Soken, Inc.",TKS:4812,18.1,Low ESG Risk,340
"Denyo Co., Ltd.",TKS:6517,24.8,Medium ESG Risk,340
Deoleo SA,MCE:OLE,25.9,Medium ESG Risk,340
"Depo Auto Parts Industrial Co., Ltd.",TAI:6605,24.9,Medium ESG Risk,340
"Deppon Logistics Co., Ltd.",SHG:603056,26.2,Medium ESG Risk,340
Derby Healthcare Plc,-,25.9,Medium ESG Risk,340
Derichebourg SA,PAR:DBG,24.8,Medium ESG Risk,340
Dermapharm Holding SE,ETR:DMP,27.6,Medium ESG Risk,340
Derwent London Plc,LON:DLN,12,Low ESG Risk,341
Descente Ltd.,TKS:8114,18.1,Low ESG Risk,341
"Design Therapeutics, Inc.",NAS:DSGN,28.3,Medium ESG Risk,341
"Designer Brands, Inc.",NYS:DBI,17.4,Low ESG Risk,341
"Desktop Metal, Inc.",NYS:DM,23.1,Medium ESG Risk,341
"Destination XL Group, Inc.",NAS:DXLG,17,Low ESG Risk,341
Deterra Royalties Ltd.,ASX:DRR,9.6,Negligible ESG Risk,341
DEUTSCHE APOTHEKER- UND ÄRZTEBANK eG,-,25.1,Medium ESG Risk,341
Deutsche Bahn AG,-,22.3,Medium ESG Risk,341
Deutsche Bank AG,ETR:DBK,22.9,Medium ESG Risk,341
Deutsche Bank SAE,-,15.7,Low ESG Risk,342
Deutsche Beteiligungs AG,ETR:DBAN,30.2,High ESG Risk,342
Deutsche Börse AG,ETR:DB1,11.2,Low ESG Risk,342
Deutsche EuroShop AG,ETR:DEQ,19.9,Low ESG Risk,342
Deutsche Kreditbank AG,-,18.1,Low ESG Risk,342
Deutsche Lufthansa AG,ETR:LHA,27.3,Medium ESG Risk,342
Deutsche Pfandbriefbank AG,ETR:PBB,21.2,Medium ESG Risk,342
Deutsche Post AG,ETR:DHL,13.1,Low ESG Risk,342
Deutsche Telekom AG,ETR:DTE,18.3,Low ESG Risk,342
Deutsche Wohnen SE,ETR:DWNI,13.5,Low ESG Risk,342
DEUTZ AG,ETR:DEZ,22.1,Medium ESG Risk,343
Develia SA,WAR:DVL,23.3,Medium ESG Risk,343
"Development Bank of Japan, Inc.",-,12.5,Low ESG Risk,343
Development Bank of Kazakhstan JSC,-,16.1,Low ESG Risk,343
Devon Energy Corp.,NYS:DVN,31.6,High ESG Risk,343
Devro Ltd.,-,28.8,Medium ESG Risk,343
Devsisters Corp.,KRX:194480,19.3,Low ESG Risk,343
Devyani International Ltd.,BOM:543330,31.4,High ESG Risk,343
Dexco SA,BSP:DXCO3,11.8,Low ESG Risk,343
"DexCom, Inc.",NAS:DXCM,21.7,Medium ESG Risk,343
Dexerials Corp.,TKS:4980,17.5,Low ESG Risk,344
Dexia Holding SA,-,39,High ESG Risk,344
Dexus,ASX:DXS,5.5,Negligible ESG Risk,344
Dexus Industria REIT,ASX:DXI,7.8,Negligible ESG Risk,344
Deyaar Development PJSC,DFM:DEYAAR,25.8,Medium ESG Risk,344
DFDS A/S,CSE:DFDS,20.2,Medium ESG Risk,344
DFI Retail Group Holdings Ltd.,SES:D01,22.7,Medium ESG Risk,344
DFS Furniture Plc,LON:DFS,13.1,Low ESG Risk,344
"DGB Financial Group Co., Ltd.",KRX:139130,24.9,Medium ESG Risk,344
Dhani Services Ltd.,BOM:532960,37,High ESG Risk,344
Dhanuka Agritech Ltd.,BOM:507717,34.7,High ESG Risk,345
"DHC Software Co., Ltd.",SHE:002065,28.8,Medium ESG Risk,345
"DHI Group, Inc.",NYS:DHX,25,Medium ESG Risk,345
Dhipaya Group Holdings PCL,BKK:TIPH,35.3,High ESG Risk,345
"DHT Holdings, Inc.",NYS:DHT,31.9,High ESG Risk,345
DI DONG-IL Corp.,KRX:001530,25.9,Medium ESG Risk,345
Diageo Plc,LON:DGE,16.5,Low ESG Risk,345
Diagnósticos da América SA,BSP:DASA3,18.6,Low ESG Risk,345
Dialight Plc,LON:DIA,20,Medium ESG Risk,345
Dialog Group Bhd.,KLS:7277,19.5,Low ESG Risk,345
"Diamond Hill Investment Group, Inc.",NAS:DHIL,27.3,Medium ESG Risk,346
"Diamond Offshore Drilling, Inc.",OTC:DODRW,25.9,Medium ESG Risk,346
"Diamondback Energy, Inc.",NAS:FANG,37.3,High ESG Risk,346
DiamondRock Hospitality Co.,NYS:DRH,13.1,Low ESG Risk,346
Dian Diagnostics Group Co. Ltd.,SHE:300244,27,Medium ESG Risk,346
DiaSorin SpA,MIL:DIA,19.4,Low ESG Risk,346
DIC Corp.,TKS:4631,26,Medium ESG Risk,346
"DICE Therapeutics, Inc.",-,27.1,Medium ESG Risk,346
"Dick's Sporting Goods, Inc.",NYS:DKS,16.6,Low ESG Risk,346
Dicker Data Ltd.,ASX:DDR,13,Low ESG Risk,346
"Diebold Nixdorf, Inc.",NYS:DBD,17.4,Low ESG Risk,347
"Digi International, Inc.",NAS:DGII,17.7,Low ESG Risk,347
Digicel Group Ltd.,-,29.6,Medium ESG Risk,347
Digimarc Corp.,NAS:DMRC,20.6,Medium ESG Risk,347
Digital Arts Inc.,TKS:2326,20.9,Medium ESG Risk,347
"Digital China Group Co., Ltd.",SHE:000034,26.8,Medium ESG Risk,347
Digital China Holdings Ltd.,HKG:861,15.4,Low ESG Risk,347
Digital China Information Service Group Co. Ltd.,SHE:000555,24.5,Medium ESG Risk,347
Digital Core REIT,SES:DCRU,14.5,Low ESG Risk,347
"Digital Garage, Inc.",TKS:4819,25.1,Medium ESG Risk,347
"Digital Holdings, Inc.",TKS:2389,18.8,Low ESG Risk,348
"Digital Realty Trust, Inc.",NYS:DLR,12.6,Low ESG Risk,348
"Digital Turbine, Inc.",NAS:APPS,20.3,Medium ESG Risk,348
"DigitalBridge Group, Inc.",NYS:DBRG,19,Low ESG Risk,348
"DigitalOcean Holdings, Inc.",NYS:DOCN,26.1,Medium ESG Risk,348
Dilip Buildcon Ltd.,BOM:540047,44.7,Severe ESG Risk,348
"Dillard's, Inc.",NYS:DDS,18.2,Low ESG Risk,348
"Dime Community Bancshares, Inc.",NAS:DCOM,28.8,Medium ESG Risk,348
Dimerco Express Corp.,ROCO:5609,22.7,Medium ESG Risk,348
"Dine Brands Global, Inc.",NYS:DIN,29.3,Medium ESG Risk,348
Dingdong (Cayman) Ltd.,NYS:DDL,32.7,High ESG Risk,349
Dino Polska SA,WAR:DNP,28.1,Medium ESG Risk,349
DIO Corp.,KRX:039840,36.5,High ESG Risk,349
"Diodes, Inc.",NAS:DIOD,23.1,Medium ESG Risk,349
Diös Fastigheter AB,OME:DIOS,12.8,Low ESG Risk,349
dip Corp.,TKS:2379,7.9,Negligible ESG Risk,349
Diploma Plc,LON:DPLM,20.7,Medium ESG Risk,349
Direcional Engenharia SA,BSP:DIRR3,20.8,Medium ESG Risk,349
Direct Line Insurance Group Plc,LON:DLG,22.2,Medium ESG Risk,349
Direct Marketing MiX Inc.,TKS:7354,18.4,Low ESG Risk,349
Dis-Chem Pharmacies Ltd.,JSE:DCP,23.7,Medium ESG Risk,350
"Disc Medicine, Inc.",NAS:IRON,30.1,High ESG Risk,350
DISCO Corp.,TKS:6146,17,Low ESG Risk,350
Discover Bank,-,29.3,Medium ESG Risk,350
Discover Financial Services,NYS:DFS,22.8,Medium ESG Risk,350
discoverIE Group Plc,LON:DSCV,8.9,Negligible ESG Risk,350
Discovery Ltd.,JSE:DSY,14.9,Low ESG Risk,350
DISH Network Corp.,-,19.6,Low ESG Risk,350
Distribuidora Internacional De Alimentacion SA,MCE:DIA,27.2,Medium ESG Risk,350
"Distribution Solutions Group, Inc.",NAS:DSGR,24.6,Medium ESG Risk,350
"Ditto (Thailand) Public Co., Ltd.",BKK:DITTO,27.5,Medium ESG Risk,351
Diversified Energy Co. Plc,LON:DEC,37.8,High ESG Risk,351
Diversified Healthcare Trust,NAS:DHC,16.3,Low ESG Risk,351
Divi's Laboratories Ltd.,BOM:532488,32.8,High ESG Risk,351
Dixon Technologies (India) Ltd.,BOM:540699,16.2,Low ESG Risk,351
"DKK Co., Ltd.",TKS:6706,21.7,Medium ESG Risk,351
"DKS Co., Ltd.",TKS:4461,41.4,Severe ESG Risk,351
DKSH Holding AG,SWX:DKSH,11,Low ESG Risk,351
DKV MOBILITY GROUP SE,-,7.2,Negligible ESG Risk,351
"Dl E&C Co., Ltd",KRX:375500,27.9,Medium ESG Risk,351
"DL Holdings Co., Ltd.",KRX:000210,36.3,High ESG Risk,352
DLF Ltd.,BOM:532868,16.9,Low ESG Risk,352
DLocal Ltd.,NAS:DLO,22.2,Medium ESG Risk,352
"DMC Global, Inc.",NAS:BOOM,29.6,Medium ESG Risk,352
"DMCI Holdings, Inc.",PHS:DMC,37.8,High ESG Risk,352
DMG MORI AG,ETR:GIL,29.6,Medium ESG Risk,352
"DMG MORI CO., LTD.",TKS:6141,35.6,High ESG Risk,352
DN AUTOMOTIVE Corp.,KRX:007340,22.1,Medium ESG Risk,352
"DNA Link, Inc.",KRX:127120,31.9,High ESG Risk,352
DNB Bank ASA,OSL:DNB,14,Low ESG Risk,352
DNO ASA,OSL:DNO,48.4,Severe ESG Risk,353
"DNOW, Inc.",NYS:DNOW,18.5,Low ESG Risk,353
DO & CO AG,WBO:DOC,20.6,Medium ESG Risk,353
"Do-Fluoride New Materials Co., Ltd.",SHE:002407,28.4,Medium ESG Risk,353
"Docebo, Inc.",TSE:DCBO,21.5,Medium ESG Risk,353
"DocGo, Inc.",NAS:DCGO,24.1,Medium ESG Risk,353
DocMorris Ltd.,SWX:DOCM,20.9,Medium ESG Risk,353
"DocuSign, Inc.",NAS:DOCU,17,Low ESG Risk,353
Dodla Dairy Ltd.,BOM:543306,35,High ESG Risk,353
Dogan Sirketler Grubu Holding AS,IST:DOHOL.E,27.7,Medium ESG Risk,353
Dogus Otomotiv Servis ve Ticaret AS,IST:DOAS.E,10.7,Low ESG Risk,354
Doha Bank,DSMD:DHBK,29.8,Medium ESG Risk,354
"DoHome Public Co., Ltd.",BKK:DOHOME,25.9,Medium ESG Risk,354
"Dolby Laboratories, Inc.",NYS:DLB,11.9,Low ESG Risk,354
Dole Plc,NYS:DOLE,19,Low ESG Risk,354
Dollar General Corp.,NYS:DG,21.2,Medium ESG Risk,354
"Dollar Tree, Inc.",NAS:DLTR,18.8,Low ESG Risk,354
"Dollarama, Inc.",TSE:DOL,17.8,Low ESG Risk,354
Dom Development SA,WAR:DOM,22.6,Medium ESG Risk,354
Domain Holdings Australia Ltd.,ASX:DHG,17.8,Low ESG Risk,354
Dometic Group AB,OME:DOM,22.8,Medium ESG Risk,355
"Dominion Energy, Inc.",NYS:D,28.6,Medium ESG Risk,355
Domino's Pizza Enterprises Ltd.,ASX:DMP,23.9,Medium ESG Risk,355
Domino's Pizza Group Plc,LON:DOM,21.2,Medium ESG Risk,355
"Domino's Pizza, Inc.",NYS:DPZ,27.5,Medium ESG Risk,355
"Domo, Inc.",NAS:DOMO,23.6,Medium ESG Risk,355
"Donaldson Co., Inc.",NYS:DCI,29.3,Medium ESG Risk,355
"Donegal Group, Inc.",NAS:DGICA,31.8,High ESG Risk,355
"Dong-A Socio Holdings Co., Ltd.",KRX:000640,37.2,High ESG Risk,355
"Dong-A ST Co., Ltd.",KRX:170900,28.6,Medium ESG Risk,355
"Dong-E-E-Jiao Co., Ltd.",SHE:000423,36,High ESG Risk,356
Dongfang Electric Corp. Ltd.,HKG:1072,28.9,Medium ESG Risk,356
"Dongfeng Automobile Co., Ltd.",SHG:600006,31.9,High ESG Risk,356
"Dongfeng Motor Group Co., Ltd.",HKG:489,26.9,Medium ESG Risk,356
"Dongguan Development (Holdings) Co., Ltd.",SHE:000828,15.2,Low ESG Risk,356
"Dongguan Yiheda Automation Co., Ltd.",SHE:301029,34.7,High ESG Risk,356
Dongjiang Environmental Co. Ltd.,HKG:895,23.8,Medium ESG Risk,356
"Dongjin Semichem Co., Ltd.",KRX:005290,35.5,High ESG Risk,356
"DongKook Pharmaceutical Co., Ltd.",KRX:086450,32.4,High ESG Risk,356
"Dongkuk Steel Mill Co., Ltd.",KRX:460860,36.7,High ESG Risk,356
"DONGSUH Cos., Inc.",KRX:026960,21.4,Medium ESG Risk,357
"DONGWHA ENTERPRISE Co., Ltd.",KRX:025900,30.9,High ESG Risk,357
"Dongwon F&B Co., Ltd.",KRX:049770,35.1,High ESG Risk,357
"DONGWON INDUSTRIES Co., Ltd.",KRX:006040,33.4,High ESG Risk,357
DONGWON SYSTEMS Corp.,KRX:014820,17.8,Low ESG Risk,357
Dongxing Hong Kong,-,33.6,High ESG Risk,357
"Dongxing Securities Co., Ltd.",SHG:601198,34,High ESG Risk,357
Dongyue Group Ltd.,HKG:189,39.2,High ESG Risk,357
"Donnelley Financial Solutions, Inc.",NYS:DFIN,19.6,Low ESG Risk,357
"DoorDash, Inc.",NAS:DASH,21.9,Medium ESG Risk,357
"Doosan Bobcat, Inc.",KRX:241560,28.3,Medium ESG Risk,358
Doosan Corp.,KRX:000150,25.7,Medium ESG Risk,358
"Doosan Enerbility Co., Ltd.",KRX:034020,32.2,High ESG Risk,358
"Doosan Fuel Cell Co., Ltd.",KRX:336260,28.9,Medium ESG Risk,358
"Doosan Robotics, Inc.",KRX:454910,36.4,High ESG Risk,358
"DOOSAN TESNA, Inc.",KRX:131970,36.6,High ESG Risk,358
Dorian LPG Ltd.,NYS:LPG,34.7,High ESG Risk,358
dormakaba Holding AG,SWX:DOKA,21.6,Medium ESG Risk,358
"Dorman Products, Inc.",NAS:DORM,15.9,Low ESG Risk,358
Doro AB,OME:DORO,13.7,Low ESG Risk,358
"Doshisha Co., Ltd.",TKS:7483,14.7,Low ESG Risk,359
"Dosilicon Co., Ltd.",SHG:688110,40.6,Severe ESG Risk,359
Dottikon ES Holding AG,SWX:DESN,30.5,High ESG Risk,359
"Double Medical Technology, Inc.",SHE:002901,30.9,High ESG Risk,359
"DoubleUGames Co., Ltd.",KRX:192080,24.7,Medium ESG Risk,359
"DoubleVerify Holdings, Inc.",NYS:DV,18.4,Low ESG Risk,359
"Douglas Dynamics, Inc.",NYS:PLOW,28.5,Medium ESG Risk,359
"Douglas Elliman, Inc.",NYS:DOUG,23.1,Medium ESG Risk,359
"Douglas Emmett, Inc.",NYS:DEI,22.7,Medium ESG Risk,359
"Doutor Nichires Holdings Co., Ltd.",TKS:3087,33.4,High ESG Risk,359
"DOUZONE BIZON Co., Ltd.",KRX:012510,26.4,Medium ESG Risk,360
Dover Corp.,NYS:DOV,24.5,Medium ESG Risk,360
"Dow, Inc.",NYS:DOW,19.6,Low ESG Risk,360
"DOWA HOLDINGS Co., Ltd.",TKS:5714,44.2,Severe ESG Risk,360
Downer EDI Ltd.,ASX:DOW,31.6,High ESG Risk,360
Downing Renewables & Infrastructure Trust Plc,LON:DORE,30.5,High ESG Risk,360
"Doximity, Inc.",NYS:DOCS,20.9,Medium ESG Risk,360
DP World Ltd.,-,8.5,Negligible ESG Risk,360
DPC Dash Ltd.,HKG:1405,29,Medium ESG Risk,360
DR Corp. Ltd.,SHE:301177,20.9,Medium ESG Risk,360
Dr. Lal PathLabs Ltd.,BOM:539524,19,Low ESG Risk,361
Dr. Martens Plc,LON:DOCS,15.7,Low ESG Risk,361
Dr. Reddy's Laboratories Ltd.,BOM:500124,23.6,Medium ESG Risk,361
Dr. Sulaiman Al-Habib Medical Services Group Co.,SAU:4013,31.4,High ESG Risk,361
"DraftKings, Inc.",NAS:DKNG,34.7,High ESG Risk,361
Drägerwerk AG & Co. KGaA,ETR:DRW3,25.7,Medium ESG Risk,361
Dragonfly Energy Holdings Corp.,NAS:DFLI,26.7,Medium ESG Risk,361
Drax Group Plc,LON:DRX,21.7,Medium ESG Risk,361
DRB-HICOM Bhd.,KLS:1619,26.3,Medium ESG Risk,361
DRDGOLD Ltd.,JSE:DRD,32.4,High ESG Risk,361
"Dream Finders Homes, Inc.",NYS:DFH,21.9,Medium ESG Risk,362
Dream Industrial Real Estate Investment Trust,TSE:DIR.UT,9.6,Negligible ESG Risk,362
Dream Summit Industrial LP,-,16.1,Low ESG Risk,362
DREAM Unlimited Corp.,TSE:DRM,18.2,Low ESG Risk,362
DreamFolks Services Ltd.,BOM:543591,23.7,Medium ESG Risk,362
"Dreamtech Co., Ltd.",KRX:192650,21.8,Medium ESG Risk,362
"Dril-Quip, Inc.",-,19.3,Low ESG Risk,362
"Driven Brands Holdings, Inc.",NAS:DRVN,17.9,Low ESG Risk,362
"Dropbox, Inc.",NAS:DBX,18.8,Low ESG Risk,362
Drumaville Ltd.,-,36,High ESG Risk,362
DS Smith Plc,LON:SMDS,11.9,Low ESG Risk,363
DSM BV,-,21.8,Medium ESG Risk,363
DSM-Firmenich AG,AMS:DSFIR,16.8,Low ESG Risk,363
DSV A/S,CSE:DSV,11.9,Low ESG Risk,363
"DT Midstream, Inc.",NYS:DTM,28.9,Medium ESG Risk,363
DTE Electric Co.,-,28.6,Medium ESG Risk,363
DTE Energy Co.,NYS:DTE,31.3,High ESG Risk,363
DTEK Group BV,-,50.1,Severe ESG Risk,363
DTS Corp.,TKS:9682,20,Medium ESG Risk,363
Dua Capital Ltd.,-,36,High ESG Risk,363
Dubai Aerospace Enterprise (DAE) Ltd.,-,12.3,Low ESG Risk,364
