company_name,ticker,esg_score,risk_level,page_number,exchange,clean_ticker,risk_category
"CSW Industrials, Inc.",NAS:CSWI,26.6,Medium ESG Risk,316,NAS,CSWI,Medium Risk
CSX Corp.,NAS:CSX,21.1,Medium ESG Risk,316,NAS,CSX,Medium Risk
"CTO Realty Growth, Inc.",NYS:CTO,18.6,Low ESG Risk,316,NYS,CTO,Low Risk
CTS Corp.,NYS:CTS,12.8,Low ESG Risk,317,NYS,CTS,Low Risk
CubeSmart,NYS:CUBE,16.6,Low ESG Risk,317,NYS,CUBE,Low Risk
"Cue Biopharma, Inc.",NAS:CUE,28.2,Medium ESG Risk,318,NAS,CUE,Medium Risk
"Cullen/Frost Bankers, Inc.",NYS:CFR,27.1,Medium ESG Risk,318,NYS,CFR,Medium Risk
"Cullinan Therapeutics, Inc.",NAS:CGEM,39.8,High ESG Risk,318,NAS,CGEM,High Risk
"Cummins, Inc.",NYS:CMI,18.8,Low ESG Risk,318,NYS,CMI,Low Risk
"Cumulus Media, Inc.",NAS:CMLS,12.9,Low ESG Risk,318,NAS,CMLS,Low Risk
CureVac NV,NAS:CVAC,27.5,Medium ESG Risk,318,NAS,CVAC,Medium Risk
Curtiss-Wright Corp.,NYS:CW,37.1,High ESG Risk,319,NYS,CW,High Risk
Cushman & Wakefield Plc,NYS:CWK,16.5,Low ESG Risk,319,NYS,CWK,Low Risk
"Custom Truck One Source, Inc.",NYS:CTOS,28.9,Medium ESG Risk,319,NYS,CTOS,Medium Risk
"Customers Bancorp, Inc.",NYS:CUBI,25.0,Medium ESG Risk,319,NYS,CUBI,Medium Risk
"Cutera, Inc.",NAS:CUTR,25.5,Medium ESG Risk,319,NAS,CUTR,Medium Risk
CVB Financial Corp.,NAS:CVBF,27.7,Medium ESG Risk,320,NAS,CVBF,Medium Risk
"CVR Energy, Inc.",NYS:CVI,49.1,Severe ESG Risk,320,NYS,CVI,High Risk
"CVRx, Inc.",NAS:CVRX,29.0,Medium ESG Risk,320,NAS,CVRX,Medium Risk
CVS Health Corp.,NYS:CVS,18.3,Low ESG Risk,320,NYS,CVS,Low Risk
CyberArk Software Ltd.,NAS:CYBR,15.7,Low ESG Risk,320,NAS,CYBR,Low Risk
"Cytek Biosciences, Inc.",NAS:CTKB,29.0,Medium ESG Risk,321,NAS,CTKB,Medium Risk
"Cytokinetics, Inc.",NAS:CYTK,27.6,Medium ESG Risk,322,NAS,CYTK,Medium Risk
"D.R. Horton, Inc.",NYS:DHI,21.6,Medium ESG Risk,322,NYS,DHI,Medium Risk
Dada Nexus Ltd.,NAS:DADA,21.7,Medium ESG Risk,323,NAS,DADA,Medium Risk
Daily Journal Corp.,NAS:DJCO,14.6,Low ESG Risk,326,NAS,DJCO,Low Risk
"Daktronics, Inc.",NAS:DAKT,17.6,Low ESG Risk,328,NAS,DAKT,Low Risk
"Dana, Inc.",NYS:DAN,14.8,Low ESG Risk,329,NYS,DAN,Low Risk
Danaher Corp.,NYS:DHR,10.5,Low ESG Risk,329,NYS,DHR,Low Risk
Danaos Corp.,NYS:DAC,20.4,Medium ESG Risk,330,NYS,DAC,Medium Risk
"Danimer Scientific, Inc.",NYS:DNMR,36.3,High ESG Risk,330,NYS,DNMR,High Risk
Daqo New Energy Corp.,NYS:DQ,23.5,Medium ESG Risk,331,NYS,DQ,Medium Risk
"Darden Restaurants, Inc.",NYS:DRI,27.5,Medium ESG Risk,331,NYS,DRI,Medium Risk
"Darling Ingredients, Inc.",NYS:DAR,19.5,Low ESG Risk,332,NYS,DAR,Low Risk
"Datadog, Inc.",NAS:DDOG,16.1,Low ESG Risk,332,NAS,DDOG,Low Risk
